,file,start_time,end_time,participant,ground_truth,ground_truth_cleaned,Whisper_large
14218,D0066_A,1260.83,1274.98,66.0,然后是回到家乡的话呢，它是类似于做更全面的一种I/b做I T岗就什么都可能会去做这样子，不是很明确什么技术方向。,然后是回到家乡的话呢，它是类似于做更全面的一种I做I T岗就什么都可能会去做这样子，不是很明确什么技术方向。,然后是回到家乡的话它是类似于做更全面的一种IT搞就什么都可能会去做这样子不是很明确什么技术方向
6679,D0032_A,820.83,828.14,32.0,还是/p[还是]相对比较友好的，他也不会说刻意说你，哎你[你]现在就有这个毛病怎么怎么样的，但是。,还是相对比较友好的，他也不会说刻意说你，哎你现在就有这个毛病怎么怎么样的，但是。,还是还是相对比较友好他也不会说可以说你哎你现在就有这个毛病怎么怎么样但是
6657,D0032_A,647.7,651.32,32.0,这个语言方面的培养啊，包括这个陪伴相对会少一些。,这个语言方面的培养啊，包括这个陪伴相对会少一些。,这个语言方面的培养包括这个陪伴相对会少一些
5300,D0027_A,579.13,591.27,27.0,直接就回家了，我也没有参加什么，就是他体检的时候也没有考这个口不口吃这一项，也没有让你念一段文字什么的，这个事儿就这么过去了，嗯/i。,直接就回家了，我也没有参加什么，就是他体检的时候也没有考这个口不口吃这一项，也没有让你念一段文字什么的，这个事儿就这么过去了，。,直接就回家了我也没有参加什么就是他体检的时候也没有考这个考不考试这一项也没有让你念一段文字什么的这个事就这么过去了
12170,D0057_A,270.29,275.29,57.0,然后但是<overlap>他[他]论文没有出多久就被证伪了，在他。,然后但是<overlap>他论文没有出多久就被证伪了，在他。,然后但是他他论文没有出多久就被证伪了在他
1142,D0006_A,780.79,791.44,6.0,嗯/i，有[有有]，但[但]是我们会非常，对非常那种一个正[正正]式吧，就是会跟他。,，有，但是我们会非常，对非常那种一个正式吧，就是会跟他。,"有有有,但是我們會非常正式吧,就是會跟他"
5158,D0026_A,1585.7559158091306,1595.26,26.0,拒/b绝但有时也会出现不得不给客户打电话的情况，然后我当时呃/i是因为我同事想在旁边指/b[指]导我怎么跟[跟跟]他们打。,拒绝但有时也会出现不得不给客户打电话的情况，然后我当时是因为我同事想在旁边指导我怎么跟他们打。,但有時也會出現不得不給客戶打電話的情況然後我當時是因為我同事想在旁邊指導我怎麼跟他們打
6389,D0031_A,1436.89,1438.1,31.0,呃/i/p。,。,呃
12889,D0060_A,265.39,274.8,60.0,呃/i用一种那个别样的眼光，就是估计他那个心里*就想，咦这个[这个]医生怎么[怎么怎么怎么]说话还结巴。,用一种那个别样的眼光，就是估计他那个心里*就想，咦这个医生怎么说话还结巴。,用一种别样的眼光就是估计他这个心里都就想这个医生怎么说话还结巴
7118,D0034_A,631.69,642.47,34.0,然后我呢给相对于其他人就是/p背单词背课文的能/b力就会差非常多。,然后我呢给相对于其他人就是背单词背课文的能力就会差非常多。,然后我呢给相对于其他人就是背单词背课文的能力就会差非常多
11407,D0053_A,2293.26,2300.05,53.0,嗯/i然后/p嗯/i特别是现在，我们公司有个股东，他跟他哥哥都有点口吃。,然后特别是现在，我们公司有个股东，他跟他哥哥都有点口吃。,然后特别是现在我们公司有个股东他跟他哥哥都有点口齿
3907,D0020_A,862.71,871.07,20.0,我估计他们听的也[也]很难受，所以/p在那种环境上面是压力特别大的。,我估计他们听的也很难受，所以在那种环境上面是压力特别大的。,我估计他们听的也很难受所以在那种环境上面是压力特别大的
8751,D0041_A,50.71,63.67,41.0,啊/i我还有我日常[我日常]，嗯/i我日常的工作内容就是/p，嗯/i接诊各种类型的，嗯/i这种颈肩腰腿痛的病人。,我还有我日常，我日常的工作内容就是，接诊各种类型的，这种颈肩腰腿痛的病人。,我日常的工作内容就是接诊各种类型的这种颈尖腰腿痛的病人
10040,D0047_A,950.53,952.16,47.0,那需要付费吗？,那需要付费吗？, começar後退 Now
14493,D0067_A,2196.62,2203.12,67.0,就[就]算以前会有一些吧我估计他现在嗯/i现在也差不多吧。,就算以前会有一些吧我估计他现在现在也差不多吧。,就就算以前会有一些我估计他现在嗯现在也差不多了
13840,D0064_A,775.76,783.81,64.0,呃/i体[体]悟，我就觉得我现在嗯/i/p没有因为口吃而[而/r]有太多的心理的负担或者是。,体悟，我就觉得我现在没有因为口吃而有太多的心理的负担或者是。,體悟 我就覺得我現在沒有因為口吃而有太多的心理的負擔或者是
8002,D0038_A,64.41,67.42,38.0,然后/p散步一个小时到三个小时吧。,然后散步一个小时到三个小时吧。,然后上布一个小时到三个小时吧
8432,D0039_A,757.6,762.48,39.0,啊，但是我倒也[也]不存在是比较的问题啊，但是[是]如果是。,啊，但是我倒也不存在是比较的问题啊，但是如果是。,但是我倒也不存在是比较的问题但是如果是
12499,D0058_A,1050.8,1057.07,58.0,还有就是这个语音[语/r音]识别率上面的问题。,还有就是这个语音识别率上面的问题。,还有就是这个语音识别率上面的问题
10192,D0048_A,510.68,515.33,48.0,以及去[以及去]餐厅点菜。,以及去餐厅点菜。,以及去餐廳點菜
11501,D0054_A,156.14,165.82,54.0,就是嗯/i但是当时其实卡的也不是特别[卡的也不是特别]严重，就只是在某一个单词上面出现了一个重复。,就是但是当时其实卡的也不是特别严重，就只是在某一个单词上面出现了一个重复。,但是当时其实卡的也不是特别严重就只是在某一个单词上面出现了一个重复
7596,D0036_A,548.65,558.93,36.0,然后那个可能是我跟身边的人去交流过。更深入然后更接近我。内[内]心想法的一个时候。,然后那个可能是我跟身边的人去交流过。更深入然后更接近我。内心想法的一个时候。,然后那个可能是我跟身边的人去交流过更深入然后更接近我内心想法的一个时候
11500,D0054_A,139.42,155.46,54.0,嗯/i[嗯/i]但是就是嗯/i然后一个转折点是在我[是在我]嗯/i初二的时候，就是就突然有一次呃/i就是老师呃/i叫我起来读书的时候，就突然卡壳了一下。,但是就是然后一个转折点是在我初二的时候，就是就突然有一次就是老师叫我起来读书的时候，就突然卡壳了一下。,但是就是然后一个转折点是在我初二的时候就是就突然有一次就是老师叫我起来读书的时候就突然卡壳了一下
33,D0001_A,562.56,571.41,1.0,嗯/i我不会抓着这点小细节，所以[所以]总体还是可以放心的，对。,我不会抓着这点小细节，所以总体还是可以放心的，对。,嗯 我不会抓着这点小细节所以所以总体还是可以放心的
6332,D0031_A,852.26,857.87,31.0,啊/i会不定时的开展一些线下的口吃者的一些活动。,会不定时的开展一些线下的口吃者的一些活动。,会不定时的开展一些线下的口吃者的一些活动
6653,D0032_A,611.88,620.97,32.0,爆破音啊，什么爸爸或者什么什么就是有[有]一个爆破音在/p，就是第一个字的话可能会比较[比较]难发，就是我小的时候。,爆破音啊，什么爸爸或者什么什么就是有一个爆破音在，就是第一个字的话可能会比较难发，就是我小的时候。,爆破音啊什么爸爸或者什么什么就是有有一个爆破音在就是第一个字的话可能会比较比较难发就是我小的时候
13279,D0062_A,1110.81,1123.17,62.0,临场发挥的时候就会显得特别卡顿，然后我就是有的时候特别流畅，一句<overlap>都不会卡，然后<overlap>有的时候就十个字就要卡十/p下，就是那个<overlap>。,临场发挥的时候就会显得特别卡顿，然后我就是有的时候特别流畅，一句<overlap>都不会卡，然后<overlap>有的时候就十个字就要卡十下，就是那个<overlap>。,临场发挥的时候就会显得特别卡顿然后我就是有的时候特别流畅一句都不会卡然后有的时候就十个字就要卡十下就很累了
8765,D0041_A,218.16,230.47,41.0,嗯/i在北方主要是这种心脑血管疾病比较多，然后像南方嘛，它因为气候阴冷潮湿，就是关节炎的病人会相嗯/i相[相]对多一些。,在北方主要是这种心脑血管疾病比较多，然后像南方嘛，它因为气候阴冷潮湿，就是关节炎的病人会相相对多一些。,在北方主要是这种吸脑血管疾病比较多像南方因为气候阴冷潮湿就是关节炎的病人会相对多一些
6703,D0032_A,1071.67,1080.78,32.0,就说跟他交流啊，包括跟他[他]同时在场的时候还有一些其他的同事啊，包括一些交流啊情况下，可能我的状态就更好了，嗯。,就说跟他交流啊，包括跟他同时在场的时候还有一些其他的同事啊，包括一些交流啊情况下，可能我的状态就更好了，嗯。,就是跟他交流啊包括跟他他同时在场的时候还有一些其他的同事啊包括一些交流了可能我的状态就更好了
743,D0004_A,1337.1,1347.19,4.0,她呃/i她的电[电]视剧还[还还还]是漫[漫]威的第[第]一部[第一部]电视剧。,她她的电视剧还是漫威的第一部电视剧。,他的電視劇還是漫威的第一部電視劇
13099,D0061_A,648.26,654.81,61.0,啊/i因为我觉得可能，这段时间，我一个人去走这些个路/p线。,因为我觉得可能，这段时间，我一个人去走这些个路线。,因为我觉得可能这段时间我一个人去走这些个路线
10002,D0047_A,465.43,478.45,47.0,在一些公众场合发言的时候，我容易，我比较害怕，因为我不想因为自己结巴被人嘲笑，我就非常的有一种局限感觉放不开。,在一些公众场合发言的时候，我容易，我比较害怕，因为我不想因为自己结巴被人嘲笑，我就非常的有一种局限感觉放不开。,在一些公众场合发言的时候我容易我比较害怕因为我不想因为自己接发被人嘲笑我就非常的一种激情感觉放不开
12514,D0058_A,1216.77,1231.35,58.0,然后我[然后我]希望就是有一个功能是可以就是那种可以自动去掉这种这个一个字与/r一个字之间[之间]的这种停顿。,然后我希望就是有一个功能是可以就是那种可以自动去掉这种这个一个字与一个字之间的这种停顿。,然后我希望有一个功能是可以自动去掉一个字与一个字之间的条顿
13579,D0063_A,886.34,891.22,63.0,然后还有其[其]他的可能是一些，还有[还有]群演什么的。,然后还有其他的可能是一些，还有群演什么的。,然后还有其其他的可能是一些还有还有群演什么的
7374,D0035_A,628.16,634.35,35.0,本身这好像是一张纸，突破不了十几年了，没想到我却主动突破。,本身这好像是一张纸，突破不了十几年了，没想到我却主动突破。,本身正好像是一张只突破不了十几年了没想到我却主动突破
9803,D0046_A,510.37,522.1,46.0,呃/i就是，我自己先试试，就是我能我啊/i[啊/i]，就肯定是能独就肯定能独[独]立生[生]活的，我就是想呃/i去[去]体验一下。,就是，我自己先试试，就是我能我，就肯定是能独就肯定能独立生活的，我就是想去体验一下。,呃就是我自己先试试就是我能我就肯定是能读就肯定能读独立生生活的我就想呃去去体验一下
12955,D0060_A,846.65,848.64,60.0,对对对，是的<overlap>尽量对。,对对对，是的<overlap>尽量对。,對 對 對 知道
2761,D0014_A,812.0,813.06,14.0,嗯对。,嗯对。,呃 對
14293,D0067_A,266.98,277.93,67.0,比如说玩儿游戏啊玩儿那[玩儿那]种竞技性的游戏，啊/i比如喊队友的时候，可能有的时候就心里面突然咯噔一下。,比如说玩儿游戏啊玩儿那种竞技性的游戏，比如喊队友的时候，可能有的时候就心里面突然咯噔一下。,比如说玩游戏玩那种竞技性的游戏比如喊队友的时候可能有的时候就心里面突然咯噔一下
7796,D0037_A,192.72,201.82,37.0,就是那个气候就很差嘛，就是霾[霾霾]那块很差，然后就/p想着就是读这个专业可能。,就是那个气候就很差嘛，就是霾那块很差，然后就想着就是读这个专业可能。,就是那个气候就很差嘛就是埋埋那块很差然后就想着就是读这个专业可能
8103,D0038_A,869.22,876.21,38.0,还有气象条件，水文，还有[还有还有]些社会经济状况啊。,还有气象条件，水文，还有些社会经济状况啊。,还有气象条件水文还有还有还有些社会经济状况啊
3509,D0018_A,631.74,641.78,18.0,这是你讲话的话一定要讲的呃/i更加精准简明和精准吧<overlap>然后后面的话我就没怎么发语音。,这是你讲话的话一定要讲的更加精准简明和精准吧<overlap>然后后面的话我就没怎么发语音。,就是你講話的話一定講得更加精準簡明和精準吧然後後面的話我就沒怎麼發語音
14441,D0067_A,1642.89,1658.47,67.0,所以说就是嗯就是有什么办法就是真的是能把自己的心理状态[状态]心理情绪状态调整到合适的[合适的]位置吧。,所以说就是嗯就是有什么办法就是真的是能把自己的心理状态心理情绪状态调整到合适的位置吧。,所以说就是有什么办法就是真的是能把自己的心理状态心理情绪状态调整到合适的位置了
8393,D0039_A,429.77,436.24,39.0,然后是就他评价的话，如果是他那个朋友是口[是口]吃度是一分儿的话。,然后是就他评价的话，如果是他那个朋友是口吃度是一分儿的话。,然后是就他评价的话如果是他那个朋友是口是口吃度是一分的话
14208,D0066_A,1140.53,1150.18,66.0,因为我/b首先我会倾向于会回到家乡，要回到广西，第一个原因是因为我是。,因为我首先我会倾向于会回到家乡，要回到广西，第一个原因是因为我是。,因為我首先我會傾向於會回到家鄉要回到廣西第一個原因是因為我是
3935,D0020_A,1260.74,1261.5,20.0,嗯。,嗯。,嗯
6384,D0031_A,1388.55,1397.93,31.0,呃/p我有使用过，主要是/p那个微信里面的语[语]音条语音条转文字。,呃我有使用过，主要是那个微信里面的语音条语音条转文字。,我有使用过主要是那个微信里面的语音条语音条转文字
4951,D0025_A,1750.49,1763.03,25.0,我们这种城市春天的时候玩的也非常多，就是去那种这个城市的景点，这看看那看看，或者说公园，溜达溜达博物馆转转。,我们这种城市春天的时候玩的也非常多，就是去那种这个城市的景点，这看看那看看，或者说公园，溜达溜达博物馆转转。,我们这种城市春天的时候玩的也非常多就是去那种这个城市的景点这看看那看看或者说公园溜达溜达博物馆转转
10723,D0050_A,1234.49,1241.21,50.0,会比较少用，就是/p嗯/i/p就嗯/i/p。,会比较少用，就是就。,会比较少用就是嗯就呃
13873,D0064_A,1299.29,1304.06,64.0,就[就]还[就就还]没有上班，所以[所以]<overlap>我还没有觉得它有啥不好。,就还没有上班，所以<overlap>我还没有觉得它有啥不好。,就還沒有上班 所以我還沒有覺得他有啥不好
3954,D0020_A,1527.78,1537.01,20.0,然后/p就是/p，但是因为以前上海的口味是偏甜/r的，后来现在慢慢的。,然后就是，但是因为以前上海的口味是偏甜的，后来现在慢慢的。,然后就是但是因为以前上海的口味是偏甜的后来现在慢慢的
106,D0001_A,1944.74,1963.347983115236,1.0,对，我经常使/r/b用，嗯，因为我比较懒，然后就总是念出来的，我们之前在学校的时候，那个，在[在]。,对，我经常使用，嗯，因为我比较懒，然后就总是念出来的，我们之前在学校的时候，那个，在。,"有,我经常使用,因为我比较懒,然后就总是练出来的。我们之前在学校的时候,那个……在……"
7158,D0034_A,1044.68,1049.42,34.0,试一试要不然的话，它就比较影响我的那种/p。,试一试要不然的话，它就比较影响我的那种。,要不然的话他就比较影响我的那种
2904,D0015_A,251.92,256.06,15.0,汽车电器工程师。,汽车电器工程师。,汽车电气工程师
6379,D0031_A,1322.27,1327.81,31.0,嗯/p我也有这想法吧但是我觉得。,嗯我也有这想法吧但是我觉得。,我也有这想法吧但是我觉得
3888,D0020_A,567.49,575.73,20.0,我到底是这个字是本身是有口吃呢？还是通过我自己的方式方法去把它隐藏掉了。,我到底是这个字是本身是有口吃呢？还是通过我自己的方式方法去把它隐藏掉了。,我到底是这个字是本身是有口气还是通过我自己的方式方法去把它隐藏掉了
1929,D0010_A,1392.77,1406.43,10.0,黑[黑黑]帮的老大，然后是怎/r么带[带/r]领自己的家[家]族呃/i变得强/r盛的。,黑帮的老大，然后是怎么带领自己的家族变得强盛的。,黑帮的老大然后是怎么带领自己的家族变得强盛的
13877,D0064_A,1348.14,1359.78,64.0,这个字卡了，你不会有很[很很]明显的口吃现象，我就是想问一下你是怎么康复的或者是用什么方法，因为我刚才听[听]到了就[就就]几个还比较<overlap>那个。,这个字卡了，你不会有很明显的口吃现象，我就是想问一下你是怎么康复的或者是用什么方法，因为我刚才听到了就几个还比较<overlap>那个。,这个字卡了你不会有很明显的口齿现在是我就是想问一下你是怎么康复的或者是用什么方法因为我刚才听听到的就就几个还比较嗯
11594,D0054_A,1061.37,1063.55,54.0,嗯以上<overlap>就是我基本评价。,嗯以上<overlap>就是我基本评价。,那他的这个
5445,D0027_A,2660.19,2670.39,27.0,该怎么样它[它它]现在这个牌已经这样了，已经马上三十岁了那[那]，已经这样了，那就得接受它，毕竟想办法让它变得更好让它。,该怎么样它现在这个牌已经这样了，已经马上三十岁了那，已经这样了，那就得接受它，毕竟想办法让它变得更好让它。,该怎么样他现在这个牌已经这样了已经马上三十岁了那已经这样了那就得接受他并且想办法让他变得更好让他
2131,D0011_A,1057.98,1061.46,11.0,嗯/i/p，说其实觉得青岛不太好的。,，说其实觉得青岛不太好的。,说其实觉得青岛不太好的
7933,D0037_A,1685.96,1695.05,37.0,就是每碰到一件事情都会/p[都/r会]有那种恐[恐恐/b]惧在。,就是每碰到一件事情都会有那种恐惧在。,就是每碰到一件事情都会有那种恐惧在
14132,D0066_A,349.69,360.13,66.0,比如说有一件事情就是我站岗嘛，我站岗的时候当有别人来的时候，然后我会大声的会喊。,比如说有一件事情就是我站岗嘛，我站岗的时候当有别人来的时候，然后我会大声的会喊。,比如说有一件事情就是我站岗嘛我站岗的时候当有别人来的时候然后我会大声的会喊
4211,D0022_A,125.91,133.52,22.0,当时就是嗯/p/i可能就是因为广西吧，它本身它的发展其实没有那么好。,当时就是可能就是因为广西吧，它本身它的发展其实没有那么好。,当时就是可能就是因为管西吧他本身他的发展其实没有那么好
9627,D0045_A,1421.27,1421.93,45.0,嗯。,嗯。,嗯
3752,D0019_A,1269.06,1279.74,19.0,嗯/i因为成都是盆地，它气候比较湿润一些，可能长沙那边可能气候条件没有[没有]那个没有四川那么好，然后它的。,因为成都是盆地，它气候比较湿润一些，可能长沙那边可能气候条件没有那个没有四川那么好，然后它的。,因為成都是盆地它氣候比較濕潤一些可能長沙那邊可能氣候條件沒有沒有四川那麼好然後它的
39,D0001_A,687.6513178418804,704.63,1.0,呃/i/b正常人他[他]都会出现的，就有时候卡壳，是偶是[是]正常人也会出现的，所以呃/i我会。,正常人他都会出现的，就有时候卡壳，是偶是正常人也会出现的，所以我会。,正常人他都会出现的就有时候卡克是是正常人也会出现的所以我会
13640,D0063_A,1501.36,1512.23,63.0,像工业方面式垃圾，就是像他们做的都没有用的一些废[废]衣服啊，那个像[像]皮革啥全都能烧。基本上<overlap>咱们看到的东西大部分全都能烧。,像工业方面式垃圾，就是像他们做的都没有用的一些废衣服啊，那个像皮革啥全都能烧。基本上<overlap>咱们看到的东西大部分全都能烧。,像工业方面是垃圾就是像他们做的都没有用的一些废废衣服啊那个像像皮革啥全都能烧基本上咱们看到的东西大部分全都能烧
3387,D0017_A,737.75,749.61,17.0,我说实话我基本上旅游，要是[要是]要/r去外面基本上都是会有一些出差啊或者什么的<overlap>才去，然/r后我到那个地方之后就。,我说实话我基本上旅游，要是要去外面基本上都是会有一些出差啊或者什么的<overlap>才去，然后我到那个地方之后就。,我说实话我基本上旅游要是要是要去外面基本上都是会有一些出差啊或者什么的嗯然后我到那个地方之后就
14836,D0069_A,958.3,968.26,69.0,所以感觉可能我自己的一个适应情况还好，就是跟我身边其他北[北北]方同学对气候的适应还好。,所以感觉可能我自己的一个适应情况还好，就是跟我身边其他北方同学对气候的适应还好。,所以感觉可能我自己的一个适应情况还好就是跟我身边其他北方同学对气候的适应还好
8102,D0038_A,864.37,868.86,38.0,然后在地质条件这一片呢，还有很多什么，下面是什么层的什么层的。,然后在地质条件这一片呢，还有很多什么，下面是什么层的什么层的。,然後在低值條件這一片還有很多什麼下面是什麼層的
6179,D0030_A,1789.0,1793.42,30.0,有的[有的]，我[我/r]以前[我以前]那个。,有的，我以前那个。,有的 有的 我以前那個
12905,D0060_A,384.22,384.64,60.0,喂。,喂。,喂
4682,D0024_A,599.78,608.3,24.0,会告，它[它]会不停的告诉读者，就口吃这件事情不是错误，然后它只是一个就是。,会告，它会不停的告诉读者，就口吃这件事情不是错误，然后它只是一个就是。,会告他会不停的告诉读者就口气这件事情不是错误然后他只是一个就是
5306,D0027_A,656.71,667.78,27.0,然后等到我选专业的时候，嗯/i我爸我妈我家里的长辈都希望我[我]选一个超声啊，影像这样的就不太跟患者交流的，但是。,然后等到我选专业的时候，我爸我妈我家里的长辈都希望我选一个超声啊，影像这样的就不太跟患者交流的，但是。,然后等到我选专业的时候我爸我妈我家里的长辈都希望我我选一个超声啊影像这样的就不太跟患者交流的但是
2099,D0011_A,783.95,789.6,11.0,这个时候我感觉就是，嗯/i/p，口吃的时候会比较多。,这个时候我感觉就是，，口吃的时候会比较多。,这个时候我感觉就是口吃的时候会比较多啊
12883,D0060_A,203.93,215.0,60.0,然后第二呢就是[就是]当时就是不[不]得不跟病人接触的时候然后呢[然后呢]我也然后[然后]我/r也是尽量少说话或[或]者说就是说一些这种。,然后第二呢就是当时就是不得不跟病人接触的时候然后呢我也然后我也是尽量少说话或者说就是说一些这种。,然后第二呢就是当时就是不得不跟病人接触的时候然后呢然后呢我也是尽量少说话或者说就是说一些
29,D0001_A,494.43,513.43,1.0,呃/i但是呢嗯/i不会说就抓着我的这个卡的问题，然后说哦不信任啊呃/i或者来质问呃/i这一种，就是我觉得家长的。,但是呢不会说就抓着我的这个卡的问题，然后说哦不信任啊或者来质问这一种，就是我觉得家长的。,"但是呢,不会说就抓着我的这个卡的问题,然后说不信任啊,或者来质问的这种,就是我觉得家长的"
7833,D0037_A,598.07,606.05,37.0,然后我亲戚会[会]有人说这个情况，说你这个你要改等等等等等等的，然后其[其]他的人就是。,然后我亲戚会有人说这个情况，说你这个你要改等等等等等等的，然后其他的人就是。,然后我亲戚会会有人说这个情况说你这个你要改等等等等等等然后其其他的人就是
12442,D0058_A,313.74,323.37,58.0,然后/p[然后]我的爱好方面就是爱/r/b好一些。,然后我的爱好方面就是爱好一些。,然后然后我的2号方面就是2号一些
21655,P0019,2975.154,2975.894,19.0,恰恰。,恰恰。,恰恰
25564,P0031,2584.39,2586.39,31.0,自/p动搜台。,自动搜台。,自動收台
31737,P0051,1794.768,1798.648,51.0,单曲循环歌曲月[月]圆人缺。,单曲循环歌曲月圆人缺。,单曲循环歌曲月圆人缺
21021,P0018,2032.041,2033.571,18.0,香山公园。,香山公园。,香山公園
34544,P0061,2137.48,2141.66,61.0,走[走]西口每天放几[几]集。,走西口每天放几集。,走西口每天放几集
28971,P0042,2299.881,2304.781,42.0,播放歌曲深秋[深/r秋]清风。,播放歌曲深秋清风。,播放歌曲《仙秋清风》
29961,P0046,2466.055,2469.505,46.0,你好，米雅打开我的收藏。,你好，米雅打开我的收藏。,你好米娅打开我的收藏
21758,P0019,3180.514,3182.284,19.0,你好，米雅，播放我们的旅行。,你好，米雅，播放我们的旅行。,你好咪呀播放我们的旅行
32800,P0055,3077.41,3080.41,55.0,导航去杨屋中心市场。,导航去杨屋中心市场。,导航去洋屋中心市场
27635,P0037,3115.845,3117.445,37.0,向右吹风。,向右吹风。,向右垂方
25573,P0031,2624.69,2627.04,31.0,向/r右吹风。,向右吹风。,向右吹風
26764,P0034,4019.76,4022.12,34.0,你好，米雅，找一首唐诗。,你好，米雅，找一首唐诗。,一号民宴找一首唐诗
21482,P0019,2614.654,2618.734,19.0,你好，米雅，给我播放海底小纵队英语的故事。,你好，米雅，给我播放海底小纵队英语的故事。,你好米娅给我播放海底小纵队英语的故事
15239,P0001,3292.649,3295.319,1.0,放/p克金属。,放克金属。,半克金属
27872,P0038,2831.92,2834.0,38.0,导航去黄腾小区。,导航去黄腾小区。,导航区房层小区
21015,P0018,2016.891,2018.501,18.0,西单大悦城。,西单大悦城。,西當大躍程
35214,P0062,3997.458,3999.428,62.0,航去西官浦。,航去西官浦。,航去西贯浦
27653,P0037,3193.495,3197.165,37.0,我要去三圣乡高架草莓采摘园。,我要去三圣乡高架草莓采摘园。,我要去三圣香高价草莓彩珍园
32370,P0054,2719.077,2722.347,54.0,播放开/r学了。,播放开学了。,播放開學了
28846,P0042,1672.311,1675.551,42.0,设定三十二度。,设定三十二度。,設定32度
